Fecha_Hora_Sincro,temp_om,hum_om,pressure_om,rad_om,cloud_om,precipitation_om,direct_rad_om,diffuse_rad_om
2022-06-09 00:00:00,22.85,96.715744,1010.4165,0.0,36.0,0.0,0.0,0.0
2022-06-09 01:00:00,22.4,97.29677,1009.8153,0.0,85.0,0.0,0.0,0.0
2022-06-09 02:00:00,22.9,95.54678,1009.5178,0.0,100.0,0.0,0.0,0.0
2022-06-09 03:00:00,22.75,95.833534,1009.5173,0.0,100.0,0.0,0.0,0.0
2022-06-09 04:00:00,22.5,97.298744,1009.41644,0.0,100.0,0.0,0.0,0.0
2022-06-09 05:00:00,22.15,99.09001,1009.7145,0.0,96.0,0.0,0.0,0.0
2022-06-09 06:00:00,22.1,99.08966,1010.2135,0.0,89.0,0.0,0.0,0.0
2022-06-09 07:00:00,22.9,97.60285,1010.5166,36.0,100.0,0.0,11.0,25.0
2022-06-09 08:00:00,24.3,90.528404,1011.1219,197.0,65.0,0.0,101.0,96.0
2022-06-09 09:00:00,25.9,85.8588,1011.5283,395.0,85.0,0.0,239.0,156.0
2022-06-09 10:00:00,27.25,81.96417,1011.9336,590.0,99.0,0.1,434.0,156.0
2022-06-09 11:00:00,28.35,76.864685,1011.23883,731.0,100.0,0.0,486.0,245.0
2022-06-09 12:00:00,29.05,74.698074,1010.7423,838.0,100.0,0.2,614.0,224.0
2022-06-09 13:00:00,28.85,71.36499,1010.0426,790.0,100.0,0.5,507.0,283.0
2022-06-09 14:00:00,26.2,79.87363,1010.0315,539.0,100.0,4.8,168.0,371.0
2022-06-09 15:00:00,25.0,87.8777,1009.2275,137.0,100.0,0.4,30.0,107.0
2022-06-09 16:00:00,24.65,90.27837,1008.8264,182.0,100.0,0.2,22.0,160.0
2022-06-09 17:00:00,24.35,91.91381,1008.8251,199.0,100.0,0.4,25.0,174.0
2022-06-09 18:00:00,24.3,90.25411,1008.72485,55.0,100.0,0.4,8.0,47.0
2022-06-09 19:00:00,24.0,93.86411,1008.92346,11.0,100.0,0.0,0.0,11.0
2022-06-09 20:00:00,23.7,94.99579,1009.5213,0.0,100.0,0.0,0.0,0.0
2022-06-09 21:00:00,24.1,92.458176,1010.22205,0.0,100.0,0.0,0.0,0.0
2022-06-09 22:00:00,23.3,96.14173,1010.71826,0.0,100.0,0.0,0.0,0.0
2022-06-09 23:00:00,23.1,97.6064,1011.0169,0.0,100.0,0.0,0.0,0.0
2022-06-10 00:00:00,22.65,99.697014,1010.61554,0.0,100.0,0.0,0.0,0.0
2022-06-10 01:00:00,22.35,100.0,1009.71545,0.0,100.0,0.0,0.0,0.0
2022-06-10 02:00:00,22.25,99.69608,1009.0157,0.0,100.0,0.0,0.0,0.0
2022-06-10 03:00:00,22.55,99.39436,1008.7173,0.0,100.0,0.0,0.0,0.0
2022-06-10 04:00:00,22.45,99.696526,1008.71704,0.0,100.0,0.0,0.0,0.0
2022-06-10 05:00:00,22.45,99.09201,1008.8169,0.0,100.0,0.0,0.0,0.0
2022-06-10 06:00:00,22.4,99.09171,1009.21606,0.0,100.0,0.0,0.0,0.0
2022-06-10 07:00:00,22.7,98.79325,1009.5169,36.0,100.0,0.0,9.0,27.0
2022-06-10 08:00:00,24.1,91.899254,1010.22205,148.0,100.0,0.0,41.0,107.0
